IDPOLUICAO;LAT;LONG
327;-23,6107975;-46,7964429
328;-23,5727991;-46,733957
329;-23,5736271;-46,7772242
330;-23,5681672;-46,6561563
331;-23,6447148;-46,670722
332;-23,5348357;-46,7016873
333;-23,5444508;-46,793473
334;-23,5795762;-46,8768551
335;-23,5657053;-46,7422707
336;-23,5807465;-46,7612025
337;-23,5289542;-46,4250921
338;-23,5832503;-46,7545697
339;-23,5798607;-46,7597061
340;-23,5605047;-46,7550876
341;-23,6791277;-46,7967951
342;-23,5831;-46,8092386
343;-23,5853002;-46,8278194
344;-23,5292369;-46,828319
345;-23,4450401;-46,5936998
346;-23,5679599;-46,6918594
347;-23,607832;-46,75288
348;-23,5713134;-46,8857485
349;-23,5821864;-46,7528739
350;-23,6354192;-46,7791641
351;-23,5716845;-46,7554361
352;-23,585142;-46,645477
353;-23,4369266;-46,7330234
354;-23,622993;-46,6037395
355;-23,4375473;-46,7214278
356;-23,6350932;-46,6799164
357;-23,6080554;-46,6324437
358;-23,6083917;-46,9310198
359;-23,528484;-46,355453
360;-23,538309;-46,823898
361;-23,6503423;-46,8028952
362;-23,575589;-46,7395336
363;-23,5687409;-46,658628
364;-23,5921792;-46,7205465
365;-23,580334;-46,769324
366;-23,5200731;-46,8416401
367;-23,5899715;-46,7704607
368;-23,5763131;-46,7119693
369;-23,5809213;-46,7653693
370;-23,5444353;-46,7035593
371;-23,6026779;-46,7957221
372;-23,5977649;-46,762266
373;-23,568985;-46,4293804
374;-23,5719651;-46,77737
375;-23,7555439;-46,685557
376;-23,555525;-46,797443
377;-23,5738816;-46,7764915
378;-23,6626948;-46,6739648
379;-23,531693;-46,789925
380;-23,6170191;-46,7842291
381;-23,5870575;-46,8017403
382;-23,5719585;-46,7289421
383;-23,5705602;-46,7510116
384;-23,5834723;-46,7511112
385;-23,652902;-46,815752
386;-23,5409025;-46,6200467
387;-23,5529074;-46,6910269
388;-23,585142;-46,74251
389;-23,4684269;-46,5528231
390;-23,5565753;-46,7445029
391;-23,5949658;-46,6753437
392;-23,5551381;-46,6841821
393;-23,5736138;-46,7548265
394;-23,5306485;-46,8368277
395;-23,524714;-46,8186012
396;-23,5901379;-46,3984252
397;-23,5871521;-46,6340567
398;-23,6275246;-46,7318073
399;-23,5787449;-46,7317346
400;-23,557024;-46,7452599
401;-23,61385;-46,832188
402;-23,5754192;-46,7534253
403;-23,5524131;-46,7605318
404;-23,566553;-46,7446526
405;-23,5788343;-46,7660357
406;-23,564636;-46,764938
407;-23,5718918;-46,7242129
408;-23,5715695;-46,7428252
409;-23,527589;-46,602266
410;-23,6143306;-46,7666985
411;-23,5276984;-46,7322218
412;-23,4840204;-46,4944254
413;-23,5673713;-46,7458597
414;-23,7550644;-46,680551
415;-23,4171443;-46,4683792
416;-23,5994191;-46,6778385
417;-23,5333888;-46,6713419
418;-23,6948946;-46,8450427
419;-23,4891085;-46,6719244
420;-23,542856;-46,691708
421;-23,718159;-46,6242019
422;-23,549202;-46,93729
423;-23,5612302;-46,6793879
424;-23,4933996;-46,4200112
425;-23,5963005;-46,7834476
426;-23,519222;-46,836739
427;-23,5457015;-46,7524093
428;-23,6080039;-46,7568094
429;-23,5636235;-46,7593161
430;-23,6165875;-46,6790351
431;-23,5763967;-46,7604545
432;-23,4502458;-46,5654069
433;-23,5916101;-46,7168942
434;-23,5334053;-46,7604886
435;-23,5628152;-46,6853454
436;-23,5621233;-46,6892073
437;-23,532964;-46,826893
438;-23,6348652;-46,6875696
439;-23,5893484;-46,7617943
440;-23,5642307;-46,6676932
